"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
CROMBACH;63067;E   
CRUPET;92006;B   
CUESMES;53053;C   
CUGNON;84009;D   
CUL-DES-SARTS;93014;E   
CUSTINNE;91072;H   
DADIZELE;36012;B   
DAILLY;93014;K   
DAKNAM;46014;C   
DALHEM;62027;    
DALHEM;62027;A   
DAMME;31006;    
DAMME;31006;A   
DAMPICOURT*;85047;A   
DAMPREMY;52011;B   
DARION;64029;D   
DAUSSOIS;93010;D   
DAVE;92094;X   
DAVERDISSE;84016;    
DAVERDISSE;84016;A   
DE HAAN;35029;    
DE KLINGE;46020;B   
DE MOEREN;38025;K   
DE PANNE;38008;    
DE PANNE;38008;A   
DE PINTE;44012;    
DE PINTE;44012;A   
DEEL HERENT;24062;F   
DEEL HUISE*;45017;B   
DEEL KAGGEVINNE;24134;F   
DEEL KORBEEK-LO +DEEL HAASRODE;24062;E   
DEEL RENINGELST;33039;H   
DEEL SINAAI;46024;C   
DEEL VAN ZOLDER;71066;B   
DEEL VRASENE;46020;E   
DEEL WOUMEN - AFDELING 3;32006;C   
DEERLIJK;34009;    
DEERLIJK;34009;A   
DEFTINGE;45063;C   
DEINZE;44011;    
DEINZE;44011;A   
DENDERBELLE;42011;C   
DENDERHOUTEM;41024;B   
DENDERLEEUW;41011;    
DENDERLEEUW;41011;A   
DENDERMONDE;42006;    
DENDERMONDE;42006;A   
DENDERWINDEKE;41048;F   
DENEE;91005;C   
DENTERGEM;37002;    
DENTERGEM;37002;A   
DERGNEAU;51065;N   
DESSEL;13006;    
DESSEL;13006;A   
DESSELGEM;34040;C   
DESTELBERGEN;44013;    
DESTELBERGEN;44013;A   
DEURLE;44064;B   
DEURNE;11002;R   
DEURNE;24020;F   
DEUX-ACREN;55023;B   
DHUY;92035;N   
DIEGEM;23047;B   
DIEPENBEEK;71011;    
DIEPENBEEK;71011;A   
DIEST;24020;    
DIEST;24020;A   
DIKKEBUS;33011;H   
DIKKELE;45065;F   
DIKKELVENNE*+DEEL ZINGEM;44020;E   
DIKSMUIDE;32003;    
DIKSMUIDE;32003;A   
DILBEEK;23016;    
DILBEEK;23016;A   
DILSEN;72041;A   
DILSEN-STOKKEM;72041;    
DINANT;91034;    
DINANT;91034;A   
DION;91013;E   
DION-LE-MONT;25018;C   
DION-LE-VAL;25018;D   
DISON;63020;    
DISON;63020;A   
DOCHAMPS;83055;F   
DOEL;46003;E   
DOHAN;84010;E   
DOISCHE;93018;    
DOISCHE;93018;A   
DOLEMBREUX*;62100;D   
DONCEEL;64023;    
DONCEEL;64023;A   
DONGELBERG*;25048;D   
DONK;71024;B   
DONSTIENNES;56078;E   
DORINNE;91141;E   
DORMAAL;24130;D   
DOTTIGNIES;54007;D   
DOUR;53020;    
DOUR;53020;A   
DOURBES*;93090;H   
DRANOUTER;33039;E   
DROGENBOS;23098;    
DROGENBOS;23098;A   
DRONGEN;44021;K   
DUDZELE;31005;C   
DUFFEL;12009;    
DUFFEL;12009;A   
DUISBURG;24104;C   
DURAS;71053;D   
DURBUY;83012;    
DURBUY;83012;A   
DURNAL;91141;C   
DWORP;23003;C   
EBEN-EMAEL;62011;F   
EBLY;84033;B   
ECAUSSINES;55050;    
ECAUSSINES-D'ENGHIEN;55050;A   
ECAUSSINES-LALAING;55050;B   
EDEGEM;11013;    
EDEGEM;11013;A   
EEKLO;43005;    
EEKLO* + DEEL ADEGEM;43005;A   
EERNEGEM;35006;B   
EGEM;37011;B   
EGGEWAARTSKAPELLE;38025;D   
EGHEZEE;92035;    
EGHEZEE;92035;A   
EHEIN (PARTIE);61080;B   
EHEIN*;62121;D   
EIGENBILZEN;73006;F   
EINDHOUT;13053;C   
EISDEN;73107;D   
EKE*+DEEL SEMMERZAKE;44048;B   
EKEREN;11002;P   
EKSAARDE;46014;B   
EKSEL+ DEEL VAN OVERPELT;72038;B   
ELEN;72041;C   
ELENE + OOMBERGEN*;41081;B   
ELEWIJT;23096;D   
ELINGEN;23064;B   
ELLEMELLE*;61048;C   
ELLEZELLES;51017;    
ELLEZELLES;51017;A   
ELLIGNIES-SAINTE-ANNE;51008;H   
ELLIKOM;72040;C   
ELOUGES;53020;D   
ELSEGEM*+DEEL VAN KLUISBERGEN;45061;D   
ELSENBORN;63013;B   
ELSENE;21009;    
ELSENE;21009;A   
ELST;45059;D   
ELVERDINGE;33011;F   
ELVERSELE;46025;D   
EMBLEM;11035;D   
EMBOURG*;62022;C   
EMINES;92141;A   
EMPTINNE;91059;E   
ENGELMANSHOVEN;71053;L   
ENGHIEN;55010;    
ENGHIEN;55010;A   
ENGIS;61080;    
ENGIS;61080;A   
ENINES;25120;E   
ENSIVAL;63079;E   
EPINOIS;56011;D   
EPPEGEM;23096;E   
EPRAVE;91114;E   
ERBAUT;53044;F   
ERBISOEUL;53044;D   
EREMBODEGEM*;41002;H   
EREZEE;83013;    
EREZEE;83013;A   
ERMETON-SUR-BIERT;92087;E   
ERNEUVILLE;83049;C   
ERNONHEID;62009;D   
ERONDEGEM;41082;H   
ERPE;41082;B   
ERPE - MERE;41082;    
ERPENT;92094;Y   
ERPION;56029;C   
ERPS-KWERPS;24055;B   
ERQUELINNES;56022;    
ERQUELINNES;56022;A   
ERQUENNES;53083;K   
ERTVELDE;44019;C   
ERWETEGEM;41081;F   
ESCANAFFLES;57018;D   
ESNEUX;62032;    
ESNEUX* + PARTIE DE DOLEMBREUX;62032;A   
ESPLECHIN;57081;N   
ESQUELMES;57062;E   
ESSEN;11016;    
ESSEN +DEEL KALMTHOUT;11016;A   
ESSENE;23105;B   
ESTAIMBOURG;57027;D   
ESTAIMPUIS;57027;    
ESTAIMPUIS;57027;A   
ESTINNES;56085;    
ESTINNES-AU-MONT;56085;A   
ESTINNES-AU-VAL;56085;B   
ETALLE;85009;    
ETALLE;85009;A   
ETHE;85045;B   
ETIKHOVE;45064;A   
ETTELGEM;35014;B   
ETTERBEEK;21005;    
ETTERBEEK;21005;    
ETTERBEEK;21005;A   
ETTERBEEK;21005;A   
EUGIES* + PARTIE DE PATURAGES;53028;D   
EUPEN;63023;    
EUPEN*+GEBIETSTEIL RAEREN;63023;A   
EVEGNEE-TIGNEE*;62099;F   
EVELETTE;92097;F   
EVERBEEK;45059;G   
EVERBERG;24055;D   
EVERE;21006;    
EVERE;21006;A   
EVERGEM;44019;    
EVERGEM;44019;A   
EVREGNIES;57027;B   
EYNATTEN;63061;B   
FAGNOLLE + PARTIE DE DOURBES;93056;L   
FAIMES;64076;    
FALAEN;91103;E   
FALISOLLE;92137;C   
FALLAIS;64015;D   
FALMAGNE;91034;G   
FALMIGNOUL;91034;H   
FAMILLEUREUX*;52063;E   
FARCIENNES;52018;    
FARCIENNES;52018;A   
FAULX-LES-TOMBES;92054;B   
FAUROEULX;56085;E   
FAUVILLERS;82009;    
FAUVILLERS;82009;A   
FAYMONVILLE;63080;C   
FAYS-LES-VENEURS;84050;E   
FAYT-LE-FRANC;53083;H   
FAYT-LEZ-MANAGE;52043;C   
FELENNE;91013;D   
FELUY;52063;B   
FENEUR;62027;B   
FERNELMONT;92138;    
FERRIERES;61019;    
FERRIERES + PARTIE DE HARRE;61019;A   
FESCHAUX;91013;F   
FEXHE-LE-HAUT-CLOCHER;64025;    
FEXHE-LE-HAUT-CLOCHER* + PARTIE DE MOMALLE;64025;A   
FEXHE-SLINS + PARTIE DE LIERS;62060;C   
FILOT;61024;C   
FINNEVAUX;91072;D   
FIZE-FONTAINE;61068;E   
FLAMIERGE*;82005;C   
FLAVION;93022;C   
FLAWINNE;92094;E   
FLEMALLE;62120;    
FLEMALLE-HAUTE & FLEMALLE-GRANDE & PARTIE AWIRS;62120;A   
FLENU;53053;U   
FLERON;62038;    
FLERON*;62038;A   
FLEURUS;52021;    
FLEURUS;52021;A   
FLOBECQ;51019;    
FLOBECQ;51019;A   
FLONE;61003;B   
FLOREE;92006;G   
FLOREFFE;92045;    
FLOREFFE*;92045;A   
FLORENNES;93022;    
FLORENNES;93022;A   
FLORENVILLE;85011;    
FLORENVILLE;85011;A   
FLORIFFOUX;92045;D   
FLOSTOY;91064;J   
FOCANT;91013;K   
FOLX-LES-CAVES;25120;D   
FONTAINE-L'EVEQUE;52022;    
